id,label
00,Bezirksamt Charlottenburg-Wilmersdorf
01,Bezirksamt Friedrichshain-Kreuzberg
02,Bezirksamt Lichtenberg
03,Bezirksamt Marzahn-Hellersdorf
04,Bezirksamt Mitte
05,Bezirksamt Neukölln
06,Bezirksamt Pankow
07,Bezirksamt Reinickendorf
08,Bezirksamt Spandau
09,Bezirksamt Steglitz-Zehlendorf
10,Bezirksamt Tempelhof-Schöneberg
11,Bezirksamt Treptow-Köpenick
12,"Die/Der Beauftragte für Kirchen, Religions- und Weltanschauungsgemeinschaften"
13,Landesbeauftragter für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR
14,Regierender Bürgermeister - Senatskanzlei -
15,Senatskanzlei - Kulturelle Angelegenheiten -
16,"Senatsverwaltung für Arbeit, Integration und Frauen"
17,"Senatsverwaltung für Bildung, Jugend und Wissenschaft"
18,"Senatsverwaltung für Bildung, Wissenschaft und Forschung"
19,Senatsverwaltung für Finanzen
20,Senatsverwaltung für Gesundheit und Soziales
21,"Senatsverwaltung für Gesundheit, Umwelt und Verbraucherschutz"
22,Senatsverwaltung für Inneres und Sport
23,"Senatsverwaltung für Integration, Arbeit und Soziales"
24,Senatsverwaltung für Justiz
25,Senatsverwaltung für Justiz und Verbraucherschutz
26,Senatsverwaltung für Stadtentwicklung
27,Senatsverwaltung für Stadtentwicklung und Umwelt
28,"Senatsverwaltung für Wirtschaft, Technologie und Forschung"
29,"Senatsverwaltung für Wirtschaft, Technologie und Frauen"
30,Stiftung Deutsche Klassenlotterie Berlin
