jahr,geber,politikbereich,betrag,plz,name
2014,05,20,625000,152,Arbeiterwohlfahrt Berlin Kreisverband Südost e. V.
2011,23,20,22934,359,Berliner Arbeitslosenzentrum BALZ e. V.
2014,16,13,32050,45,Brandenburg e. V.
2015,20,11,138116,118,DÜNN e. V.
2010,11,17,14675,229,Förderverein Lokale Agenda 21 Treptow-Köpenick e. V.
2011,23,20,17970,135,Freunde alter Menschen e. V.
2015,17,14,76460,283,Himmel & Erde Pankow e.V
2016,05,04,6607,203,ImPULS e. V.
2014,16,01,20000,107,Lesbians aus der Türkei Berlin-Brandenburg e. V.
2014,16,01,60000,107,Lesbians aus der Türkei Berlin-Brandenburg e. V.
2015,15,17,85000,145,Neue Gesellschaft für Bildende Kunst e. V.
2016,05,07,2499,203,Verein zur Förderung der Kommunikation unter Gropiusstädter Frauen e. V.
2016,05,14,15363,203,Verein zur Förderung der Kommunikation unter Gropiusstädter Frauen e. V.
2013,16,02,169144,301,Internationaler Bund (IB) Freier Träger der Jugend-, Sozial- und Bildungsarbeit
2013,16,02,550,301,Internationaler Bund (IB) Freier Träger der Jugend-, Sozial- und Bildungsarbeit
2013,16,02,24850,301,Internationaler Bund (IB) Freier Träger der Jugend-, Sozial- und Bildungsarbeit
2013,16,02,38874,301,Internationaler Bund (IB) Freier Träger der Jugend-, Sozial- und Bildungsarbeit
2016,04,23,1750,248,ABC Zentrum Berlin e. V.
2016,04,23,980,268,casablanca gGmbH
2016,17,14,225888,157,Diakonisches Werk Tempelhof-Schöneberg
2014,14,17,5000,287,!K7 Records GmbH
2016,14,17,4900,287,!K7 Records GmbH
2009,29,28,2960,73,!K7 Records GmbH
2010,04,23,20000,74,'BürSte' Bürger für den Stephankiez in Mitte e. V.
2011,04,23,10000,74,'BürSte' Bürger für den Stephankiez in Mitte e. V.
2015,16,02,3733,348,'Das Futterhaus' - Berlin GmbH & Co. KG
2016,16,02,1866,348,'Das Futterhaus' - Berlin GmbH & Co. KG
2010,23,02,3182,240,'Die Arche' Christliches Kinder- und Jugendwerk e. V.
2011,23,20,10000,08,'Die Hilfsbereitschaft e. V.' Treffpunkt Hilfsbereitschaft
2011,23,20,3100,08,'Die Hilfsbereitschaft e. V.' Treffpunkt Hilfsbereitschaft
2011,23,20,5000,08,'Die Hilfsbereitschaft e. V.' Treffpunkt Hilfsbereitschaft
2010,23,13,10000,31,'Gesicht zeigen!' Für ein weltoffenes Deutschland e. V.
2010,23,13,19800,31,'Gesicht zeigen!' Für ein weltoffenes Deutschland e. V.
2011,23,01,65000,31,'Gesicht zeigen!' Für ein weltoffenes Deutschland e. V.
2015,16,02,3118,348,'GIRASOLES - SONNENBLUMEN' e. V.
2016,16,02,4173,348,'GIRASOLES - SONNENBLUMEN' e. V.
2010,15,17,2728000,73,'Grips'-Theater gemeinnützige Gesellschaft mit beschränkter Haftung
2013,15,17,2863000,73,'Grips'-Theater gemeinnützige Gesellschaft mit beschränkter Haftung
2014,15,17,2863000,73,'Grips'-Theater gemeinnützige Gesellschaft mit beschränkter Haftung
2011,15,17,2752000,73,'Grips'-Theater Gesellschaft mit beschränkter Haftung
2012,15,17,50000,73,'Grips'-Theater Gesellschaft mit beschränkter Haftung
2012,15,17,2863000,73,'Grips'-Theater Gesellschaft mit beschränkter Haftung
2011,23,02,9210,251,'Kiek in' e. V. Berlin
2011,23,02,3654,251,'Kiek in' e. V. Berlin
2011,23,02,6264,251,'Kiek in' e. V. Berlin
2011,23,02,3654,251,'Kiek in' e. V. Berlin
2011,23,02,6754,251,'Kiek in' e. V. Berlin
2011,23,02,6754,251,'Kiek in' e. V. Berlin
2012,16,02,8170,251,'Kiek in' e. V. Berlin
2012,16,02,6248,251,'Kiek in' e. V. Berlin
2012,16,02,8250,251,'Kiek in' e. V. Berlin
2012,16,02,11052,251,'Kiek in' e. V. Berlin
2012,16,02,23464,251,'Kiek in' e. V. Berlin
2012,16,02,6754,251,'Kiek in' e. V. Berlin
2012,16,02,6754,251,'Kiek in' e. V. Berlin
2012,16,02,1044,251,'Kiek in' e. V. Berlin
2012,16,10,71000,251,'Kiek in' e. V. Berlin
2013,16,10,32650,251,'Kiek in' e. V. Berlin
2010,29,10,53250,251,'Kiek in' e. V. Berlin
2011,29,10,35130,251,'Kiek in' e. V. Berlin
2012,16,02,38804,34,'Kindergärten City' Eigenbetrieb von Berlin
2010,23,02,113298,34,'Kindergärten City' Eigenbetrieb von Berlin
2010,23,02,6835,34,'Kindergärten City' Eigenbetrieb von Berlin
2010,23,02,262569,34,'Kindergärten City' Eigenbetrieb von Berlin
2011,23,02,100723,34,'Kindergärten City' Eigenbetrieb von Berlin
2011,23,02,1119,34,'Kindergärten City' Eigenbetrieb von Berlin
2011,23,02,89097,34,'Kindergärten City' Eigenbetrieb von Berlin
2012,15,17,100000,97,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2010,15,17,25000,97,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2010,15,17,200000,97,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2010,15,17,110000,97,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2010,15,17,55000,97,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2011,15,17,2000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2012,15,17,25000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2012,15,17,150000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2012,15,17,13000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2012,15,17,20000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2012,15,17,50000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2012,15,17,130000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2012,15,17,250000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2013,15,17,195000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2013,15,17,30000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2013,15,17,90000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2013,15,17,100000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2013,15,17,30000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2013,15,17,50000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2013,15,17,31000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2013,15,17,100000,135,'Kulturveranstaltungen des Bundes in Berlin (KBB)' Gesellschaft mit beschränkter Haftung
2016,16,02,2384,45,'Lyra e. V.', Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler
2016,16,02,2263,45,'Lyra e. V.', Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler
2016,16,02,2781,45,'Lyra e. V.', Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler
2016,16,02,9205,45,'Lyra e. V.', Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler
2016,16,02,8803,45,'Lyra e. V.', Förderung der Integration für Deutsche Aussiedler und Spät-Aussiedler
2012,28,28,20000,145,'megawatt' Ingenieurgesellschaft für Wärme- und Energietechnik mbH
2014,02,20,25000,260,'Merkur' e. V. Berlin f. soziale Arbeit
2015,02,20,30000,260,'Merkur' e. V. Berlin f. soziale Arbeit
2016,02,20,30000,260,'Merkur' e. V. Berlin f. soziale Arbeit
2012,02,20,3640,260,'Merkur' e. V. Berlin für soziale Arbeit
2013,02,20,28125,260,'Merkur' e. V. Berlin für soziale Arbeit
2010,15,17,870,08,'Neuer Berliner Kunstverein'
2013,15,17,100000,08,'Neuer Berliner Kunstverein'
2013,15,17,30000,08,'Neuer Berliner Kunstverein'
2013,15,17,38275,08,'Neuer Berliner Kunstverein'
2013,15,17,30000,08,'Neuer Berliner Kunstverein'
2011,15,17,20000,08,'Neuer Berliner Kunstverein' (eingetragener Verein)
2011,15,17,30000,08,'Neuer Berliner Kunstverein' (eingetragener Verein)
2013,03,14,15000,00,'Roter Baum' Berlin UG (haftungsbeschränkt)
